feature,n_septic,n_control,mean_septic,mean_control,hedges_g,univariate_auc,welch_t,p_welch,p_mannwhitney,q_welch,q_mannwhitney,significant,abs_g
Magnesium_hours_since,1173,12109,6.071858462012942,6.9376764150898,-0.2687969478827535,0.43048895099408563,-7.9181945565520335,4.983912051214127e-15,3.4287491599799023e-15,1.9996427620115217e-14,1.2000622059929658e-14,True,0.2687969478827535
Calcium_dev,1117,10462,2.843905738036175,3.417506790684107,-0.26735013248697054,0.4147572396978484,-8.20877631926641,5.183740246231546e-16,6.563926157923908e-21,2.186475052577152e-15,3.599219509928276e-20,True,0.26735013248697054
shock_index,1168,12878,0.7671318478525093,0.7223262730768923,0.2668145894538052,0.5734212815420585,8.173936098429762,6.791012301355236e-16,8.595423935125876e-17,2.8281557558808513e-15,3.672590226826511e-16,True,0.2668145894538052
PTT_hours_since,1019,10076,10.818060665971748,9.195995000394008,0.26220023434442236,0.4736318016441093,4.367015136556761,1.3829593519802918e-05,0.005458836513825058,2.916625812830231e-05,0.008163441877492928,True,0.26220023434442236
rate_pressure_product,1168,12878,10.65183357833183,10.1098231614645,0.25666351066400983,0.573245335040964,7.721445219623868,2.2320664655848282e-14,1.0169154221742026e-16,8.639410202087159e-14,4.2892971012219574e-16,True,0.25666351066400983
MAP_std6,1253,12979,7.8093892039057735,7.011559692457416,0.25599460930445816,0.5767176420477133,7.801438879483272,1.1647181678935064e-14,2.62877601243536e-19,4.561812824249566e-14,1.271863688369461e-18,True,0.25599460930445816
Temp_mean24,793,10236,37.08592087984987,36.9501355973572,0.2553284787176287,0.5771782157969769,5.9987514727184985,2.899455665111126e-09,4.085809443927091e-13,8.517151016263934e-09,1.2925301029346278e-12,True,0.2553284787176287
Temp_slope6,1180,12734,0.018777693388740933,0.007903197770107345,0.25439962616321826,0.5392807657598901,5.274817072180436,1.564969848657377e-07,7.767699430509748e-06,4.0224615641271646e-07,1.539501875082956e-05,True,0.25439962616321826
BUN_mean24,797,10262,27.09226270003181,22.501143138558746,0.25113603899750503,0.5824805405771546,6.090437800395455,1.6713186132209679e-09,7.859109125158139e-15,4.998762034088168e-09,2.693382189767737e-14,True,0.25113603899750503
Lactate_hours_since,819,4610,13.004944062949829,10.819885417578213,0.24522280990901557,0.4273679080620512,3.74440379687477,0.00019275379208078967,3.253619386569513e-11,0.0003644597562906885,8.846618001498923e-11,True,0.24522280990901557
BUN_std24,797,10260,1.6962906204781885,1.2782284616135142,0.23485186347428086,0.6140632146377375,6.384472351660649,2.7193895570632393e-10,5.0365182113491734e-27,8.946791642738058e-10,3.68225442563084e-26,True,0.23485186347428086
WBC_hours_since,1154,12649,6.728640535830212,7.388977739957305,-0.2312320233571937,0.465327884339642,-6.15188114141134,1.0207209142447217e-09,9.392009054521021e-05,3.109418340615865e-09,0.00016612747198588258,True,0.2312320233571937
Temp_mean6,1240,12841,37.042847393405054,36.917353592709155,0.22663066545692315,0.5676984444985945,5.895152286035924,4.707716173827781e-09,3.124609393137074e-15,1.3586303694643333e-08,1.1053725702603197e-14,True,0.22663066545692315
Bilirubin_total_dev,596,3449,1.1373664757519326,0.678442614402063,0.22219903023553744,0.5196900764933323,3.1180112028493188,0.0019020410831910573,0.12419314666090257,0.0032090846993326045,0.14912242792495237,True,0.22219903023553744
sirs_unmeasured,1253,12981,0.42246507597620414,0.35063072450214494,0.22213825187792283,0.4926130295533536,5.397518842963294,7.962412749010375e-08,0.38676259005547065,2.1297835727027753e-07,0.4199501390371282,True,0.22213825187792283
Creatinine_locf,1172,12743,1.577093339788985,1.2663083036964358,0.2188343817454562,0.5714907321131135,6.292551522219178,4.227436008344157e-10,4.846320300867583e-16,1.3635553399463016e-09,1.8326889413625687e-15,True,0.2188343817454562
Creatinine_mean6,1172,12743,1.5762739286220826,1.2665266005183038,0.21792938874683823,0.5715810915662992,6.264462257839164,5.03826067435804e-10,4.45685299870999e-16,1.5786550112988526e-09,1.7050053913669612e-15,True,0.21792938874683823
Creatinine_max6,1172,12743,1.6012240642357503,1.2848809289951428,0.21732800695794283,0.572582511337952,6.279528229870491,4.5840764520197044e-10,1.7280161753452723e-16,1.4642341288490123e-09,6.933138069373105e-16,True,0.21732800695794283
Creatinine_min6,1172,12743,1.5520403507664646,1.2490122820765428,0.2169860261753152,0.5699933899331467,6.23968731912405,5.877779109588803e-10,1.9288052275868354e-15,1.8243295538252038e-09,6.973372745890866e-15,True,0.2169860261753152
MAP_dev,1253,12979,6.210004035280891,4.843164184447464,0.2163808599694174,0.548122490459295,6.47200445644177,1.3233580594161483e-10,1.751579106558709e-08,4.4427020566113547e-10,4.206346905531498e-08,True,0.2163808599694174
Platelets_hours_since,1153,12682,6.8215977624511055,7.43017116184538,-0.21333601048958886,0.4718279474442747,-5.6482858907240825,1.993783687313809e-08,0.001510348811832245,5.4662902760520264e-08,0.0023662131385371837,True,0.21333601048958886
lactate_high,1253,12981,0.14201666716767172,0.08950203948219962,0.21159031836158637,0.5713167682670596,6.432175533713059,1.7058318068876175e-10,1.3026804979345701e-36,5.668875398646729e-10,1.9480994719112437e-35,True,0.21159031836158637
